Date,Close,High,Low,Open,Volume,pos,neu,neg,compound,MA5,MA10,Return,Volatility5,Sentiment_3d,Sentiment_5d,Target_Up
2020-01-15,75.1927490234375,76.19744522367158,74.7604381579808,75.3159231634684,121923600,0.0123506965774814,0.6792699414641994,0.3465560195286944,-0.334205322951213,75.39755096435547,73.90547943115234,-0.004285476721651693,0.01554656211335871,-0.06556273183290313,-0.01567799898525738,1
2020-01-16,76.13462829589844,76.24572968842827,75.37386309518617,75.73613294032523,108829200,0.5819459112971965,0.7987604663200025,0.3807494505301822,0.2011964607670143,75.66852722167968,74.26509017944336,0.012526198133377964,0.013708743845675095,-0.06129265564229167,0.04204323480328422,1
2020-01-17,76.97754669189453,76.97995681333275,76.07669931334733,76.38341859056756,137816400,0.499465584480253,0.4104270892710261,0.4787484957695364,0.0207170887107165,76.07427062988282,74.7795166015625,0.011071419337861377,0.014044085996982938,-0.037430591157827396,0.005045070795804284,0
2020-01-21,76.45585632324219,77.04755940221253,76.31819199284013,76.60559336877427,110843200,0.1090949803242603,0.4411585481655453,0.549054041044226,-0.4399590607199656,76.05543060302735,75.18453521728516,-0.006777175826873649,0.011466591065821218,-0.07268183708074492,-0.1206239877872248,1
2020-01-22,76.72877502441406,77.28183515069573,76.63458130371416,76.94130052804331,101832400,0.1100427059120602,0.4879253721823454,0.3198173203476839,-0.2097746144356236,76.29791107177735,75.65089721679688,0.003569624542795191,0.00872708496231129,-0.20967219548162422,-0.1524050897258143,1
2020-01-23,77.09828186035156,77.17797799443389,76.23366024847726,76.78190007438859,104472000,0.1825453457757226,0.5765032779310222,0.0947728937012088,0.0877724520745138,76.67901763916015,76.03828430175781,0.004815753096800046,0.007653089410991136,-0.18732040769369182,-0.0680095347206689,0
2020-01-24,76.87609100341797,78.08848500678306,76.68529344990502,77.34462735281411,146537600,0.3148538589793427,0.7242062685118034,0.4175394709012814,-0.1026856119219387,76.82731018066406,76.24791870117187,-0.0028819171007733457,0.006956050978378376,-0.07489592476101614,-0.1287859492584595,0
2020-01-27,74.61553192138672,75.29659377968004,73.63257108817264,74.88360812840847,161940000,0.2591670111852694,0.7904500815195772,0.4759568102629526,-0.2167897990776831,76.3549072265625,76.21458892822265,-0.02940522927903222,0.013843746211126946,-0.07723431964170265,-0.17628732681613943,1
2020-01-28,76.72635650634766,76.89782887589077,75.39803343183497,75.4970547636558,162234000,0.1747374841188251,0.6609640483187109,0.190057006240516,-0.0153195221216908,76.4090072631836,76.23221893310547,0.028289345805171617,0.020647902871589855,-0.1115983110404375,-0.09135941909648446,1
2020-01-29,78.33241271972656,79.1801266517597,77.61753550777614,78.35898301190313,216229200,0.3671117368334277,0.4506600693004003,0.5143075541992518,-0.1471958173658241,76.7297348022461,76.51382293701172,0.020932262217430164,0.022583161605484115,-0.12643504618839932,-0.07884365968252456,0
2020-01-30,78.21891784667969,78.27205107194843,76.98237082631806,77.4146817332591,126743200,0.0836963163912251,0.4528142013662422,0.5436859528594599,-0.4599896364682347,76.95386199951172,76.81643981933594,-0.0014488877478210371,0.022724206909628644,-0.2075016586519165,-0.18839607739107425,0
2020-01-31,74.75077056884766,77.9314960376563,74.45612410034879,77.50884783770134,199588400,0.1752867891211308,0.6425493809533349,0.1661426924266853,0.0091440966944455,76.52879791259765,76.67805404663086,-0.044338983116975594,0.03136979126296878,-0.1993471190465377,-0.1660301356677974,0
2020-02-03,74.54550170898438,75.7120077933663,72.99015534954077,73.492499808615,173788400,0.219817105976215,0.3432662874609814,0.5901128836291332,-0.3702957776529181,76.5147918701172,76.43484954833984,-0.0027460433959569652,0.028345800204649056,-0.2737137724755691,-0.1967313313828444,1
2020-02-04,77.00650787353516,77.19730542119127,75.74580830506335,76.151548831137,136616400,0.2736419905302215,0.2662844678788368,0.084426916829255,0.1892150737009665,76.5708221435547,76.48991470336914,0.033013476442324,0.02957100401393113,-0.057312202419168685,-0.15582441221831295,1
2020-02-05,77.63444519042969,78.43385354098093,77.03066200298008,78.13437206813377,118826800,0.4711055768358081,0.412773294584466,0.1212094010414939,0.3498961757943141,76.43122863769531,76.5804817199707,0.00815434090227507,0.027933476687876112,0.056271823947454176,-0.05640601358628532,1
2020-02-06,78.54251861572266,78.54493610664728,77.34703250149894,77.90492749554984,105425600,0.1198042692950158,0.372343394992449,0.1105349035428156,0.0092693657522001,76.4959487915039,76.72490539550782,0.011696785145634214,0.028548218699184953,0.1827935384158269,0.037445786857801644,0
2020-02-07,77.47492218017578,78.2907522912515,76.98348700831134,78.04140355652011,117684000,0.3085406630481669,0.3777848722735941,0.5363938260047222,-0.2278531629565552,77.04077911376953,76.7847885131836,-0.013592592322767216,0.01745471108159827,0.0437707928633197,-0.009953665072398494,1
2020-02-10,77.84288787841797,77.84288787841797,75.97882681770385,76.05871208817942,109348800,0.3554487413172255,0.340164650629946,0.3925755313949771,-0.0371267900777516,77.70025634765625,77.10752410888672,0.00474948135328801,0.01668034382991956,-0.08523686242736885,0.0566801324426348,0
2020-02-11,77.37322998046875,78.41178269464413,77.1553537002358,78.33915973053,94323200,0.0278702476319986,0.2252559137818171,0.0912625699333637,-0.063392322301365,77.77360076904297,77.17221145629883,-0.006033407941940294,0.010512812012411459,-0.10945742511189056,0.006158653242168505,1
2020-02-12,79.21070098876953,79.21554005883662,77.82354276759801,77.82354276759801,113730400,0.364526911140863,0.2107243608400483,0.2641940510210094,0.1003328601198536,78.08885192871094,77.26004028320312,0.023748149182406086,0.014661988101506353,-6.208408642096226e-05,-0.043754009892723586,0
2020-02-13,78.64662170410156,78.97343988034811,78.27865296968668,78.48200469564426,94747600,0.1023144742123749,0.792633433841619,0.3691788150418812,-0.2668643408295063,78.10967254638672,77.30281066894531,-0.007121251013142094,0.014644044784867175,-0.07664126767033919,-0.09898075120906487,1
2020-02-14,78.66598510742188,78.91533382442148,78.1576021480164,78.61514163995746,80113600,0.0390309557911677,0.4566638802415174,0.0500784509936299,-0.0110474952024622,78.34788513183594,77.69433212280273,0.0002462076933598123,0.012501025020394877,-0.059192991970704927,-0.05561961765824626,0
2020-02-18,77.22557067871094,77.40713550005586,76.16280771158402,76.34437253292894,152531200,0.5793792198447356,0.6077883696158419,0.4821621212649211,0.0972170985798145,78.22442169189453,77.96233901977538,-0.01831051154757657,0.015614589788788161,-0.060231579150717945,-0.028750839926733045,1
2020-02-19,78.34402465820312,78.57400976696101,77.46767279180867,77.46767279180867,93984000,0.4850384088698766,0.3309523327190385,0.3031240641459829,0.1819143447238937,78.4185806274414,78.0960906982422,0.014482948713262278,0.01677603068215547,0.08936131603374871,0.020310493478318693,0
2020-02-20,77.54027557373047,78.59335295390206,77.0343158542038,78.1043410564765,100566000,0.1827682615040224,0.7699767103701354,0.5802759691555023,-0.3975077076514799,78.0844955444336,78.08667373657227,-0.010259226379793818,0.012381190492653068,-0.03945875478259053,-0.07925762007594801,0
2020-02-21,75.78515625,77.57660179653178,75.16783878997336,77.13357947900434,129554000,0.0586032684038303,0.6718070086493313,0.2506565875650598,-0.1920533191612295,77.51220245361328,77.8109375,-0.022634937917670683,0.014971562139447546,-0.13588222736293853,-0.06429541574229265,0
2020-02-24,72.18534088134766,73.63785968182607,70.01867143670297,71.96262546916086,222195200,0.4105398159072941,0.2536466013873557,0.5904661914218987,-0.1799263755146046,76.21607360839843,77.28197937011718,-0.04750026979923716,0.022361962428442485,-0.2564958007757713,-0.09807119180472115,0
2020-02-25,69.7402572631836,73.23840922009403,69.26819314550896,72.8559159017165,230673600,0.2640914962437607,0.450548465470957,0.4007519992821762,-0.1366605030384154,74.71901092529296,76.47171630859376,-0.03387230133307939,0.023662182666553403,-0.16954673257141648,-0.1448467121283671,1
2020-02-26,70.84658813476562,72.11270274954929,69.35775815457548,69.36502045153675,198054800,0.0732229409068672,0.7274709845372989,0.3808027639523648,-0.3075798230454976,73.21952362060547,75.81905212402344,0.015863590342189315,0.024167220956115298,-0.20805556719950583,-0.24274554568224538,0
